Description,Price,Sqr Ft,Longitude,Latitude,Beds,Bath,Year Built,Address,City,State,Zipcode
 Single Family Investment Property Occupied by tenants. Drive by only. Offer contingent upon inspection. Owner Agent. Monthly rents are currently $550 per month with a long term tenant in place. ,"$42,500 ",999 sqft,-89.93835,35.180725,2,1,1948," 3622 N Lloyd Cir Memphis, TN 38108 ",Memphis,TN,38108
" This single-family home is located at 14729 Dory Ct, Apple Valley, MN. 14729 Dory Ct is in Apple Valley, MN and in ZIP code 55124. It is currently for sale and has been listed on Trulia for 1 day. This property has 4 bedrooms, 2 bathrooms and approximately 1,190 sqft of floor space. This property has a lot size of 0.34 acres and was built in 1976. ",Contact For Estimate,"1,190 sqft",-93.16014,44.735634,4,2,1976," 14729 Dory Ct Apple Valley, MN 55124 ",Apple Valley,MN,55124
" Investor and homebuyer opportunity! This property is being offered at a live auction on 01-14-2020. Buy it as an investment or enjoy it as your own home. Visit Auction.com to find out where and when the auction will take place. Also, view additional photos, sales comps, rental data, title info, neighborhood reports and more. Auction.com is the nation's leading online real estate marketplace offering over 30,000 discounted residential bank-owned and foreclosure deals. Don't miss the opportunity to buy homes that offer the potential for a high return on investment. In addition to this property, Auction.com has 124 scheduled for sale at this same auction. Altogether, Auction.com has 2 properties scheduled for sale in Franklin County and 1113 throughout Ohio. All properties and sale details can be found with a simple search at Auction.com. Create a free account to find similar properties, save your favorites and receive email alerts of upcoming auctions. To view the complete details of this property, click the ""Get Auction Details"" button above or paste the Property ID 2879185 into the search bar at Auction.com. ",Contact For Estimate,979 sqft,-82.978935,40.036694,3,1,1950," 1321 Carolyn Ave Columbus, OH 43224 ",Columbus,OH,43224
" HOT Deal Alert: This property deal has a high potential return. Make sure you strike while it's HOT so you don't miss your chance at a high potential ROI. The potential return is based on the estimated resale value and estimated credit bid for the property, and doesn't consider any repair, legal or transaction costs due to the current condition of the property. This property is being offered at Public Auction on 01-22-2020. Visit Auction.com now to view additional photos, Property Inspection Report with title information, plat maps and interior inspection reports when available. Auction.com is the nation's leading real estate transaction platform focused exclusively on the sale of residential foreclosure and bank-owned properties. The majority of these properties are priced below market value. Don't miss this special opportunity to buy homes at wholesale prices! In addition to this property, 29 other properties are scheduled for sale at this same Foreclosure Sale. In our online auctions and live Foreclosure Sales, Auction.com currently has 2 properties scheduled for sale in Clark County and 143 throughout Nevada. All properties and sale details can be found with a simple search at Auction.com. Create a free account today to find more properties like this one, save searches of properties that meet your investment criteria and have the properties you're looking for emailed directly to you when posted in an upcoming sale event. To view the complete details of this exact property, click the Auction.com link below or paste the Property ID 2892420 into the search bar at Auction.com. ","$96,365 ",896 sqft,-115.102875,36.22349,2,2,1982," 3505 Rio Robles Dr #A North Las Vegas, NV 89030 ",North Las Vegas,NV,89030
" fha/va loans welcome! absolutely stunning home in evergreen park. step inside your fully renovated 3 bedroom 1 bath ranch boasting a huge backyard, 1.5 car garage. inviting kitchen with newer appliances. walk on to the beautiful solid wood floors from the family room to the bedrooms. open concept layout creates an welcoming space to entertain and create lasting memories. tons of natural light. nearly everything is updated in the home. newer roof, windows, electrical, plumbing, furnace, ac, wood flooring, kitchen and bathrooms and the list goes on. fenced in yard. close to restaurants, shopping centers, hospitals, trains, schools and highways. this won't last. come and see it today! priced to sell and will go fast!!! ","$149,900 ","1,000 sqft",-87.69072,41.733047,3,1,1950," 8819 S Fairfield Ave Evergreen Pk, IL 60805 ",Evergreen Pk,IL,60805
" Investment opportunity near Marygrove College! Stately brick Colonial with spacious living room, brick fireplace, hardwood floors. Full basement. Great candidate for rehab in one of Detroit's most rapidly developing neighborhoods. Property needs full rehab. Fire damage at the back of the house. THIS IS A MUST SEE! BRING ALL OFFERS, BATVAI. SOLD AS-IS. BUYER TO PAY $399 TRANSACTION FEE TO LISTING BROKER. ","$19,900 ","1,353 sqft",-83.15481,42.411,3,1,1928," 16185 Cherrylawn St Detroit, MI 48221 ",Detroit,MI,48221
" Investor and homebuyer opportunity! This property was recently foreclosed upon and is now available to purchase online at Auction.com. Bidding ends on 01-30-2020. Visit Auction.com to view additional photos, sales comps, rental data, title info, neighborhood reports and more. Auction.com is the nation's leading online real estate marketplace offering over 30,000 discounted residential bank-owned and foreclosure deals. Don't miss the opportunity to buy homes that offer the potential for a high return on investment. Auction.com currently has 126 properties scheduled for sale in Shelby County and 541 throughout Tennessee. All properties and sale details can be found with a simple search at Auction.com. Create a free account to find similar properties, save your favorites and receive email alerts of upcoming auctions. To view the complete details on this property, click the ""Get Auction Details"" button above or paste the Property ID 2897366 into the search bar at Auction.com. ","$169,002 ","1,535 sqft",-89.88728,35.089115,2,1.5,1958," 5243 Quince Rd Memphis, TN 38117 ",Memphis,TN,38117
" Gorgeous One owner 4 Bed, 3.5 Bath property on over 1/2 acre lot with in ground pool back to creek. Beautiful layout with custom interior features to include shiplap, chair, and crown molding throughout DS, Upgraded kitchen with Granite, backsplash, custom cabinets, center island with Jenaire smooth cooktop, & office cubby. Remodeled Baths featuring granite, screened in porch overlooking inground pool with 2019 liner & Gazebo, full utility rm with Laundry sink, 2017 water heater, FROG master bed and full bath, Upgraded flooring throughout, Dual zone Trane AC & Furnace, Shed with Cedar Shingle and power, Gas FP, & great private location only a mile from the mall. Must see!! ","$389,900 ","2,668 sqft",-76.42185,36.817123,4,4,1984," 2025 Armada Dr Chesapeake, VA 23321 ",Chesapeake,VA,23321
" Absolutely beautiful 10 acres level lot, build your dream house and have anything to want for your horses, there is plenty of room for it. Enjoy your unobstructed views of the rolling hills and the wild horses. ","$69,900 ",,-119.657845,39.38364,,,," 3260 Cartwright Rd #326 Reno, NV 89521 ",Reno,NV,89521
" This is property will be available to view for two weeks before the sale starts on December 4, 2017 at 9am. This property was pulled from the demolition queue in response to citizen request(s) to purchase the property. It will be available for sale for 30 days until January 3, 2018. This property has been pre-screened and determined to have clean title. Purchasers of this home will close with a title company and be offered Title Insurance. Title Insurance helps protect ownership rights and may benefit those seeking financing on the home. The Detroit Land Bank will issue a Quit Claim Deed at closing, which transfers its interest in the property. The purchaser will be responsible for any delinquent taxes, water bills, or liens on the property. To learn if any back taxes are owed on the property, please call both the City Assessor's Office at 313-224-3560 and visit the Wayne County Treasurer's website by clicking here (or you may call the Wayne County Treasurer at 313-224-5990). The purchaser will also be responsible for paying all current year real property taxes, as well as property taxes in all future years. Purchasers should plan on making a substantial investment in the property in order to bring it up to code. Purchasers are required to schedule a Pre-Sale Inspection by the City of Detroit Building Safety, Engineering, and Environmental Department (BSEED) within 14 days after closing on the sale. Note: This property is sold ""AS IS, WHERE IS, WITH ALL FAULTS"". The Detroit Land Bank makes no warranty or representation, express or implied, or arising by operation of law, including, but not limited to, any warranty of condition, habitability, merchantability or fitness for a particular purpose, with respect to the physical condition or status of the title to this property. ","$38,000 ","1,200 sqft",-83.22879,42.35527,4,1,1941," 8483 Piedmont St Detroit, MI 48228 ",Detroit,MI,48228
" Beautiful home in the wonderful neighborhood of Breckenridge Highlands! Well maintained, sparkling clean, and an amazing open floor plan. First floor with gleaming hardwood floors throughout entry, kitchen, and dining room. Kitchen with plenty of counter space, stainless steel appliances, pantry, and island with breakfast bar. Beautiful dining room with tray ceiling & inlet lighting. Relax in the bright and open family room, right off the kitchen! The fully finished game room with built-in bar gives you plenty of space for entertaining. Master bedroom with vaulted ceilings, walk in closest, and newly remodeled master bath! Fenced in yard and large deck with a view. Quick and easy commute to South Side/Oakland/Downtown. The community has a playground, pool and clubhouse! what more could you ask for? ","$359,900 ","2,024 sqft",-79.9627,40.393326,4,3,2008," 1128 Camarta Dr Pittsburgh, PA 15227 ",Pittsburgh,PA,15227
" COMING SOON Less than mile off I65/I24 Trinity Lane exit. 5 miles from Downtown Nashville. The Entrance to Nashville. New Build 3 Bedroom, 3 bath with roof top decks. 2020 New developments in area coming fast. Completion date February 1, 2020 ","$484,900 ","2,228 sqft",-86.78062,36.209988,3,3,2020," 1255 N Avondale Cir Nashville, TN 37207 ",Nashville,TN,37207
" One or more photo(s) has been virtually staged. Here is a great Conway home with an inground pool and fenced back yard, mature landscaping and fantastic location. This home has an oversized rear porch with plenty of room for entertaining. Inside there are wood floors in living and bedrooms and ceramic tile throughout the rest of the house. There is also a large bonus room with access to the rear porch and pool area. Conway is an amazing area of Orlando with easy access in and out of the city without having to use any of the major highways. But if you must the East-west expressway (404) and the Beachline (528) are both less than 5 minutes ways. As for dining there are many locally owned restaurants close by, along with just about every chain restaurant known to man in the Lee Vista Shopping District. Now if you're traveling to the airport, it's also just minutes away so Uber and Lyft are great affordable options. I can't say enough about Conway as this is where I chose to live and raise my family. So please reach out to me or your local agent and set up a private showing today. *** MORE PICTURES COMING SOON *** ","$239,900 ","1,512 sqft",-81.331894,28.507046,3,2,1958," 4305 Kildaire Ave Orlando, FL 32812 ",Orlando,FL,32812
